protocol_id,task_id,budget,policy,image_key,true_label,scout_pred_label,expert_pred_label,routed_pred_label,selected_for_expert,routing_score,routing_rank,scout_correct,expert_correct,routed_correct,expert_corrected,expert_induced_error,case_type,scout_artifact,expert_artifact
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,0.2,high_entropy,anormal_control/10.png,0,2,1,1,True,0.9222325139898588,12,False,False,False,False,False,both_wrong,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,0.2,high_entropy,anormal_control/103.png,0,0,0,0,False,0.001647722595571329,395,True,True,True,False,False,both_correct,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,0.2,high_entropy,anormal_control/105.png,0,1,0,0,True,0.6972287170216313,64,False,True,True,True,False,expert_correctable,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,0.2,high_entropy,anormal_control/108.png,0,2,2,2,False,0.30663039387201196,212,False,False,False,False,False,both_wrong,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,0.2,high_entropy,anormal_control/109.png,0,0,0,0,False,0.001227081274331557,415,True,True,True,False,False,both_correct,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,0.2,high_entropy,anormal_control/11.png,0,1,1,1,True,0.9839273292937234,1,False,False,False,False,False,both_wrong,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,0.2,high_entropy,anormal_control/110.png,0,0,0,0,False,0.0014772413990322148,402,True,True,True,False,False,both_correct,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,0.2,high_entropy,anormal_control/117.png,0,0,0,0,False,0.0015858330927527183,397,True,True,True,False,False,both_correct,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,0.2,high_entropy,anormal_control/12.png,0,0,0,0,False,0.1532853063971744,282,True,True,True,False,False,both_correct,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,0.2,high_entropy,anormal_control/120.png,0,0,0,0,False,0.0017446303140270427,389,True,True,True,False,False,both_correct,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,0.2,high_entropy,anormal_control/125.png,0,1,1,1,False,0.484404216531056,153,False,False,False,False,False,both_wrong,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,0.2,high_entropy,anormal_control/126.png,0,0,0,0,False,0.5990679096829206,110,True,True,True,False,False,both_correct,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,0.2,high_entropy,anormal_control/130.png,0,0,0,0,False,0.001483872085188171,400,True,True,True,False,False,both_correct,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,0.2,high_entropy,anormal_control/133.png,0,0,0,0,False,0.00099503982217864,426,True,True,True,False,False,both_correct,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,0.2,high_entropy,anormal_control/134.png,0,0,0,0,False,0.0015506436034161623,398,True,True,True,False,False,both_correct,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,0.2,high_entropy,anormal_control/135.png,0,0,0,0,False,0.02467452041203067,327,True,True,True,False,False,both_correct,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,0.2,high_entropy,anormal_control/14.png,0,1,0,1,False,0.46948561399365624,159,False,True,False,False,False,expert_correctable,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,0.2,high_entropy,anormal_control/143.png,0,0,1,0,False,0.5563889031656218,127,True,False,True,False,False,expert_harmful,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert
