record_type,task_id,dataset_id,route_id,scout_id,review_model_id,analysis_split,benchmark_split,cohort,policy,requested_review_fraction,disagreement_cases,selected_n,realized_review_fraction,harmful_conflict_events,harmful_conflict_captured,harmful_conflict_capture_rate,harmful_conflict_yield,introduced_events,introduced_captured,introduced_capture_rate,dangerous_introduced_events,dangerous_introduced_captured,dangerous_introduced_capture_rate,both_wrong_events,both_wrong_captured,both_wrong_capture_rate,large_grade_conflict_events,large_grade_conflict_captured,severe_threshold_crossing_events,severe_threshold_crossing_captured,current_case_ground_truth_used_for_priority,retrospective_outcome_used_for_fit_selection_or_threshold,locked_comparator_policy,comparator_harmful_conflict_captured,delta_harmful_conflict_captured,comparator_introduced_captured,delta_introduced_captured,comparator_dangerous_introduced_captured,delta_dangerous_introduced_captured,comparator_both_wrong_captured,delta_both_wrong_captured,comparator_large_grade_conflict_captured,delta_large_grade_conflict_captured,comparator_severe_threshold_crossing_captured,delta_severe_threshold_crossing_captured,harmful_capture_difference_ci_lower,harmful_capture_difference_ci_upper,bootstrap_replicates,bootstrap_group_count,target,target_events,target_prevalence,target_auroc,target_auprc,study_decision,protocol_sha256,source_commit_sha,generated_at_utc
priority_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::flair__to__swin_tiny,flair,swin_tiny,development_oof,development,scout_review_prediction_disagreement_only,,,100,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,both_wrong,7,0.07,0.5775729647,0.1613955789,NO_SIGNAL,8de84e8ec5a7ec9c635462c9d49b3438958df878c671932d083978ae973a6a2f,41ef3872470f11d4b50c38545f933191cf13939e,2026-07-30T13:17:06+08:00
priority_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::flair__to__swin_tiny,flair,swin_tiny,development_oof,development,scout_review_prediction_disagreement_only,,,100,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,dangerous_introduced,15,0.15,0.5043137255,0.1711428063,NO_SIGNAL,8de84e8ec5a7ec9c635462c9d49b3438958df878c671932d083978ae973a6a2f,41ef3872470f11d4b50c38545f933191cf13939e,2026-07-30T13:17:06+08:00
priority_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::flair__to__swin_tiny,flair,swin_tiny,development_oof,development,scout_review_prediction_disagreement_only,,,100,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,harmful_conflict,41,0.41,0.5915667631,0.5377938785,NO_SIGNAL,8de84e8ec5a7ec9c635462c9d49b3438958df878c671932d083978ae973a6a2f,41ef3872470f11d4b50c38545f933191cf13939e,2026-07-30T13:17:06+08:00
priority_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::flair__to__swin_tiny,flair,swin_tiny,development_oof,development,scout_review_prediction_disagreement_only,,,100,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,introduced,34,0.34,0.5762032086,0.439151551,NO_SIGNAL,8de84e8ec5a7ec9c635462c9d49b3438958df878c671932d083978ae973a6a2f,41ef3872470f11d4b50c38545f933191cf13939e,2026-07-30T13:17:06+08:00
priority_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::flair__to__swin_tiny,flair,swin_tiny,retrospective_evaluation,retrospective_frozen,scout_review_prediction_disagreement_only,,,210,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,both_wrong,24,0.1142857143,0.5161290323,0.1168235241,NO_SIGNAL,8de84e8ec5a7ec9c635462c9d49b3438958df878c671932d083978ae973a6a2f,41ef3872470f11d4b50c38545f933191cf13939e,2026-07-30T13:17:06+08:00
priority_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::flair__to__swin_tiny,flair,swin_tiny,retrospective_evaluation,retrospective_frozen,scout_review_prediction_disagreement_only,,,210,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,dangerous_introduced,36,0.1714285714,0.5395913155,0.1901533114,NO_SIGNAL,8de84e8ec5a7ec9c635462c9d49b3438958df878c671932d083978ae973a6a2f,41ef3872470f11d4b50c38545f933191cf13939e,2026-07-30T13:17:06+08:00
priority_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::flair__to__swin_tiny,flair,swin_tiny,retrospective_evaluation,retrospective_frozen,scout_review_prediction_disagreement_only,,,210,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,harmful_conflict,103,0.4904761905,0.7469376645,0.7264560168,NO_SIGNAL,8de84e8ec5a7ec9c635462c9d49b3438958df878c671932d083978ae973a6a2f,41ef3872470f11d4b50c38545f933191cf13939e,2026-07-30T13:17:06+08:00
priority_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::flair__to__swin_tiny,flair,swin_tiny,retrospective_evaluation,retrospective_frozen,scout_review_prediction_disagreement_only,,,210,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,introduced,79,0.3761904762,0.7560150739,0.6496650481,NO_SIGNAL,8de84e8ec5a7ec9c635462c9d49b3438958df878c671932d083978ae973a6a2f,41ef3872470f11d4b50c38545f933191cf13939e,2026-07-30T13:17:06+08:00
priority_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::retfound_green__to__retfound_cfp,retfound_green,retfound_cfp,development_oof,development,scout_review_prediction_disagreement_only,,,93,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,both_wrong,10,0.1075268817,0.3469879518,0.08521660837,NO_SIGNAL,8de84e8ec5a7ec9c635462c9d49b3438958df878c671932d083978ae973a6a2f,41ef3872470f11d4b50c38545f933191cf13939e,2026-07-30T13:17:06+08:00
priority_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::retfound_green__to__retfound_cfp,retfound_green,retfound_cfp,development_oof,development,scout_review_prediction_disagreement_only,,,93,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,dangerous_introduced,12,0.1290322581,0.5113168724,0.144133006,NO_SIGNAL,8de84e8ec5a7ec9c635462c9d49b3438958df878c671932d083978ae973a6a2f,41ef3872470f11d4b50c38545f933191cf13939e,2026-07-30T13:17:06+08:00
