protocol_id,task_id,split,method_kind,protocol_name,scout_artifact,expert_artifact,budget,policy,selected_n,expert_call_rate,non_deployable,accuracy,macro_f1,macro_auroc_ovr,macro_aupr_ovr,n_error,accuracy_ci_low,accuracy_ci_high,cost_status,estimated_forward_ms_per_image,relative_forward_cost_vs_expert_only,forward_cost_reduction_vs_expert_only,relative_forward_cost_vs_dense_expert,forward_cost_reduction_vs_dense_expert
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,uncertainty,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.2,low_confidence,93,0.2,False,0.843010752688172,0.8038849412270808,0.937385240208371,0.8468221795857529,73.0,,,missing,,,,,
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,uncertainty,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.3,low_confidence,140,0.3010752688172043,False,0.8516129032258064,0.8159920807999049,0.9444836228425663,0.8643803744152944,69.0,,,missing,,,,,
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,uncertainty,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.5,low_confidence,232,0.4989247311827957,False,0.8602150537634409,0.8302802185729826,0.9511207533156153,0.8834999563110997,65.0,,,missing,,,,,
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,uncertainty,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.2,low_margin,93,0.2,False,0.843010752688172,0.8035187815929995,0.9367119899145043,0.8445300641305576,73.0,,,missing,,,,,
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,uncertainty,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.3,low_margin,140,0.3010752688172043,False,0.8516129032258064,0.8175704964278752,0.9444522574182148,0.8660647423805504,69.0,,,missing,,,,,
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,uncertainty,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.5,low_margin,232,0.4989247311827957,False,0.8602150537634409,0.8302802185729826,0.9510788344822995,0.8826234209508507,65.0,,,missing,,,,,
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,uncertainty,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.2,high_entropy,93,0.2,False,0.8451612903225807,0.8086564149021523,0.9407245776017147,0.855475845832247,72.0,,,missing,,,,,
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,uncertainty,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.3,high_entropy,140,0.3010752688172043,False,0.8559139784946237,0.8228356058086687,0.9468057288000011,0.8734523507547775,67.0,,,missing,,,,,
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,uncertainty,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.5,high_entropy,232,0.4989247311827957,False,0.8580645161290322,0.8271709838639939,0.9520975847583358,0.8891371400450258,66.0,,,missing,,,,,
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,random,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.2,random_same_budget,93,0.2,False,0.818674193548387,0.7761252971635495,0.9325928526999451,0.8347172932759358,84.3165,0.8043010752688172,0.832258064516129,missing,,,,,
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,random,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.3,random_same_budget,140,0.3010752688172043,False,0.8240172043010753,0.7836075087017851,0.9361487420240729,0.8430425821981453,81.832,0.8086021505376344,0.8408602150537634,missing,,,,,
v084_glaucoma_convnext_retfound_exploratory,glaucoma_3class,test,random,convnext_tiny_glaucoma_scout_to_retfound_dinov2_glaucoma_expert,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,0.5,random_same_budget,232,0.4989247311827957,False,0.8342602150537635,0.797535702687814,0.9421076725724828,0.8578089339414202,77.069,0.8172043010752689,0.8516129032258064,missing,,,,,
